ImageId,Depth,Distance,Scaling,Error
1,644.0,5.4177488126097675,118.8685600375372,1.6601191422196755
1,654.0,5.483636751073143,119.26391730305855,1.3036691032701162
1,660.900390625,5.54602117919955,119.16658254096082,1.9039963867659071
1,666.0,5.595791353270758,119.01801871342485,1.6305726785005636
1,684.0,5.7514648128056045,118.92622527692038,1.050719617250669
1,687.80078125,5.77483764867907,119.10305069915286,1.7279844243741183
1,798.5,6.708724189537816,119.0241210460332,1.8862919149212625
1,795.0,6.6770933592214945,119.063783779817,1.1781371504901077
1,658.203125,5.514944669860828,119.34899883893306,1.8131700491351828
1,668.0,5.595791353270758,119.37543018103273,1.6305726785005636
1,721.1015625,6.065350788388617,118.8886822309539,1.0679885330699483
1,782.0,6.541615194241781,119.54234188038926,0.94500616020657691
1,640.59765625,5.454004012767736,117.4545626938248,1.8199244227438061
1,669.0,5.606921526367409,119.31681170387793,1.0861346271745598
1,727.0,6.096870121172737,119.24151007831557,0.82349172679214433
1,794.0,6.6718626952545375,119.00724524273325,1.5402825721487059
1,818.796875,6.821775462179712,120.02694599660362,1.2422385528512474
1,696.0,5.826161475496642,119.46115859081482,1.2442729680174058
1,780.0,6.524946562532483,119.54120888574204,0.91678497261785896
1,799.80078125,6.708724189537816,119.21801502844323,1.8862919149212625
1,630.548828125,5.331885660777738,118.26000560428835,2.3427684393412145
1,634.0,5.357042404946986,118.34888583568608,1.6628302571006963
1,676.0,5.6613770463238495,119.4055782663253,1.4477860228101351
1,805.0,6.73203308299492,119.57754664537015,1.1762904818163604
1,808.0,6.765729141196713,119.42541345323234,1.5327952585602704
1,662.0,5.539136956333753,119.51320308898174,1.530731180744799
1,692.0,5.784521756762334,119.62959585916064,1.3106962898435743
1,695.0,5.844090802378877,118.92354576645106,2.0151236673723241
1,778.203125,6.520734414646082,119.34286470126656,1.8836226274957921
1,945.0,7.8221266892745005,120.81113455957697,1.2211603052830573
1,629.0,5.240706590041662,120.02198352321793,1.3009544097038996
1,787.0,6.597522682668929,119.28719882500366,1.0352259079393464
1,643.1015625,5.390929222152796,119.29326763507126,1.609885059969546
1,696.0,5.844090802378877,119.09465878194236,2.0151236673723241
1,737.5,6.209375828937867,118.77200226196513,1.0572853288480231
1,778.0,6.520734414646082,119.31171406897832,1.8836226274957921
1,795.0,6.673423897686196,119.12925241803413,1.1104210919993898
1,706.0,5.911678717771178,119.42462263344653,1.5718595895086893
1,783.0,6.575793238583939,119.07308694040002,0.71543390007008656
1,803.0,6.734287982064595,119.24051987955178,1.2193513834266114
1,812.5,6.826253994756957,119.0257497925007,1.5142488024777132
1,726.0,6.102279793657484,118.97192927052957,1.1650194373212157
1,808.40625,6.788835821089313,119.07877452106155,1.3245547038080552
1,782.0,6.57531270891772,118.92970488527764,2.0292310169259271
1,658.0,5.530025496420933,118.98679317588349,1.4641078079757879
1,661.0,5.555091696641325,118.98993501757109,1.456660255392632
1,749.796875,6.301841238617017,118.98060370123639,1.0969555017099928
1,666.1484375,5.596652233880389,119.02623383803356,1.1894873255246263
1,709.40625,5.968778056940958,118.85284445700697,1.4123940804051371
1,633.0,5.326073334992612,118.84928355025701,1.694433862618292
1,783.0,6.57531270891772,119.08178890687007,2.0292310169259271
1,636.0,5.439390076426826,116.924874124452,1.2740011464910523
1,659.0,5.530025496420933,119.16762416855201,1.4641078079757879
1,697.0,5.860782395396412,118.92610115459786,1.7550696199940787
1,642.0,5.409497500197047,118.68015466808413,1.4533593919681393
1,790.0,6.633548243458107,119.09161899577418,1.047559367414272
1,675.0,5.667902483218259,119.09167491829044,1.1505306273318698
1,678.0,5.769378248526564,117.51699590387469,1.559968417760264
1,634.0,5.318840146945593,119.19891978029871,1.4248571822072496
1,714.0,5.947271160296644,120.05506067498466,2.3785711665685563
1,804.3984375,6.744274121311594,119.27131415939013,1.3222723064374917
1,661.0,5.544560549933408,119.21594038826736,1.2552028077969188
1,752.59375,6.317536030851389,119.12773371212194,0.81954162761446192
1,809.296875,6.791946897736057,119.15535960237865,1.2096718568981155
1,637.40625,5.4697863188302485,116.53220305986537,1.8200792240158201
1,671.40625,5.626159291467059,119.33651630132326,1.3006769395169344
1,657.0,5.516895957588305,119.08870586843649,1.6026738413057093
1,711.0,5.9438638068062986,119.61916071930119,1.7525140828248624
1,786.1875,6.601741687559503,119.08789183337974,0.69818878517707816
1,811.0,6.814058771811469,119.01863884047502,1.6742560159159097
1,811.59375,6.814058771811469,119.10577486613658,1.6742560159159097
1,639.0,5.4697863188302485,116.82357641653807,1.8200792240158201
1,717.0,6.630559458802992,108.13567157565906,1.326187026040079
1,711.0,5.995318722723962,118.59252741728442,1.5354828731863144
1,746.0,6.269908577838861,118.98100119621432,1.0237310095593732
1,649.0,5.4563152114675795,118.94474106554397,1.51042286350123
1,665.0,5.5725287415275835,119.33540962189909,1.4936954402004847
1,636.0,5.336495242516148,119.17934357608968,1.6882619210706216
1,644.40625,5.520813581066327,116.72305911759025,1.8388374440936093
1,664.8125,5.5725287415275835,119.30176241993803,1.4936954402004847
1,750.59375,6.294709329906839,119.2420031904966,1.0067651080016911
1,818.5,6.864635913439636,119.23429156636473,1.4284776291938062
1,633.0,5.295164745900677,119.54302280963883,1.1420616577703029
1,656.0,5.507109461712345,119.1187508729902,1.3064390213134711
1,684.0,5.740708708561375,119.14905192453335,1.1226316994709273
1,798.796875,6.6958422587647055,119.2974452100321,0.84020487960561308
1,812.5,6.726434790902255,120.79207265919466,1.0062461046479496
1,698.0,5.837331627626035,119.57518341027804,0.59685777811059049
